,symbols,date,close,open,max_price,min_price
2855,HPG,2022-03-18,46500.0,46200.0,46850.0,46050.0
2856,POW,2022-03-18,16100.0,16300.0,16450.0,16050.0
2857,FPT,2022-03-18,95100.0,93000.0,96600.0,93000.0
2858,TCB,2022-03-18,49200.0,49150.0,49400.0,49100.0
2859,VHM,2022-03-18,74600.0,74700.0,76300.0,74200.0
2860,HPG,2022-03-17,45950.0,46600.0,46700.0,45900.0
2861,VHM,2022-03-17,74000.0,74000.0,75800.0,73900.0
2862,TCB,2022-03-17,49000.0,49450.0,49500.0,49000.0
2863,POW,2022-03-17,16300.0,16300.0,16450.0,16250.0
2864,FPT,2022-03-17,92000.0,91800.0,92700.0,91500.0
2865,POW,2022-03-16,16300.0,16400.0,16700.0,16250.0
2866,FPT,2022-03-16,91600.0,91100.0,92300.0,90500.0
2867,VHM,2022-03-16,74200.0,74300.0,74500.0,73700.0
2868,TCB,2022-03-16,49050.0,48800.0,49450.0,48800.0
2869,HPG,2022-03-16,46200.0,46900.0,47150.0,46200.0
2870,FPT,2022-03-15,91000.0,91800.0,91800.0,89800.0
2871,HPG,2022-03-15,46150.0,45950.0,46700.0,45450.0
2872,TCB,2022-03-15,48600.0,48600.0,49000.0,48500.0
2873,VHM,2022-03-15,74500.0,74800.0,74800.0,73700.0
2874,POW,2022-03-15,16400.0,15700.0,16400.0,15650.0
2875,HPG,2022-03-14,45800.0,47300.0,48200.0,45800.0
2876,VHM,2022-03-14,74500.0,74600.0,74700.0,73400.0
2877,FPT,2022-03-14,91800.0,93000.0,93000.0,90500.0
2878,TCB,2022-03-14,48500.0,48800.0,48900.0,48300.0
2879,POW,2022-03-14,15650.0,16150.0,16200.0,15600.0
2880,FPT,2022-03-11,93200.0,94500.0,94600.0,92700.0
2881,HPG,2022-03-11,47600.0,49200.0,49300.0,46850.0
2882,TCB,2022-03-11,48900.0,49200.0,49200.0,48700.0
2883,VHM,2022-03-11,75000.0,75200.0,75200.0,74000.0
2884,POW,2022-03-11,16150.0,16400.0,16700.0,16100.0
2885,FPT,2022-03-10,94600.0,96300.0,96300.0,94600.0
2886,POW,2022-03-10,16600.0,17000.0,17150.0,16600.0
2887,VHM,2022-03-10,75200.0,74800.0,75900.0,74500.0
